1630143450,51.4601,-112.823,6679.66
1630143500,51.4599,-112.822,6330.32
1630143550,51.4593,-112.82,5987.67
1630143600,51.4582,-112.819,5651.41
1630143650,51.4567,-112.818,5321.24
1630143700,51.455,-112.817,4996.92
1630143750,51.4531,-112.816,4678.17
1630143800,51.451,-112.815,4364.78
1630143850,51.4488,-112.814,4056.53
1630143900,51.4463,-112.813,3753.21
1630143950,51.4436,-112.812,3454.63
1630144000,51.4405,-112.812,3160.62
1630144050,51.437,-112.812,2871
1630144100,51.4331,-112.812,2585.62
1630144150,51.4288,-112.812,2304.32
1630144200,51.4242,-112.812,2026.97
1630144250,51.4192,-112.812,1753.44
1630144300,51.4139,-112.811,1483.58
1630144350,51.4082,-112.811,1217.29
1630144400,51.4037,-112.808,954.452
1630144450,51.4014,-112.806,694.954
1630144500,51.3998,-112.805,438.695
1630144550,51.3981,-112.803,185.577
1630144588,51.3969,-112.802,-4.75067
